"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11"
"USC00280907","BOONTON 1 SE, NJ US","2015-09-04",,"92","70","72",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-09-05",,"83","61","66",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-09-06",,"83","48","59",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-09-07",,"87","53","59",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-09-08",,"92","58","67",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-09-09",,"94","67","69",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-09-10",,"93","69","69",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-09-11",,"76","65","65",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-09-12",,"81","58","58",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-09-13",,"78","58","64",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-09-14",,"75","49","56",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-09-15",,"75","51","52",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-09-16",,"81","51","54",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-09-17",,"86","54","56",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-09-18",,"86","55","55",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-09-19",,"84","55","56",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-09-20",,"82","56","65",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-09-21",,"77",,"52",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-09-22",,"70","52","57",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-09-23",,"70","50","51",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-09-24",,"79","49","50",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-09-25",,"79","49","58",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-09-26",,"72","53","58",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-09-27",,"70","49","53",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-09-28",,"69","53","63",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-09-29",,"78","62","68",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-09-30",,"81","68","73",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-10-01",,"75","52","52",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-10-02",,"61","50","50",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-10-03",,"52","46","47",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-10-04",,"52","46","52",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-10-05",,"63","48","49",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-10-06",,"65","45","45",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-10-07",,"73","45","57",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-10-08",,"69","50","50",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-10-09",,"71","50","59",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-10-10",,"73","42","46",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-10-11",,"62","30","32",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-10-12",,"67","31","43",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-10-13",,"77","43","53",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-10-14",,"67","53","54",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-10-15",,"67","38","43",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-10-16",,"62","42","47",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-10-17",,"62","43","44",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-10-18",,"54","30","30",,,,,,,,,
